"Species","Year","baseline_year","prob_decline","percent_change_q025","percent_change_q05","percent_change_q10","percent_change_q50","percent_change_mean","percent_change_q90","percent_change_q95","percent_change_q975"
"DCCO",2018,1970,0.009,20.6003194586202,33.6611922711776,54.352153571072,149.272561840007,167.025677028087,297.286396594843,354.116498568501,403.301689520219
"DCCO",2019,1970,0.008,21.5801572393169,36.1061167618111,56.8451101534595,154.810916539157,173.022474208621,305.052770843037,368.837231677214,420.054502968977
"DCCO",2020,1970,0.00766666666666667,22.7574631059696,37.8724243288422,59.3928306598525,160.025305830461,179.333726252776,315.928158941577,383.350230394582,437.019280474242
"DCCO",2021,1970,0.007,23.9002914602358,39.9146560382285,61.7972294848074,165.443520850764,185.972046775348,327.837974344987,399.160454067458,455.271845730814
"GBBG",1970,1970,0,0,0,0,0,0,0,0,0
"GBBG",1971,1970,0.798666666666667,-15.1526612309535,-12.9322485408553,-10.7537717332858,-3.65028219979747,-4.09015145341591,1.68228685447997,3.50721167680128,5.07532627364398
"GBBG",1972,1970,0.789333333333333,-27.2876973667428,-23.3655504322336,-19.6908674326329,-6.80539500814802,-7.30779067924734,3.71491250926429,7.48566706053449,10.7968923368247
"GBBG",1973,1970,0.775,-36.5941856568832,-31.8791898289349,-26.9941754784435,-9.47984158724823,-9.73574995523408,6.11039097760158,11.8042544705697,17.1960324071688
"GBBG",1974,1970,0.764,-44.0657758898629,-38.7500682898155,-32.85214225489,-11.7434832343568,-11.449702694997,8.98302390428401,16.7191370172332,24.0285550744873
"GBBG",1975,1970,0.751333333333333,-49.5760280639333,-44.4956970951072,-37.8337547116814,-13.5479663717102,-12.5184083663944,12.312609337306,21.9464161048518,32.6729097907554
"GBBG",1976,1970,0.739666666666667,-54.2405391091628,-48.8258491563582,-41.570528124104,-14.7774594988186,-13.0044155197771,16.4272738316467,27.3821680410082,41.2236786473021
"GBBG",1977,1970,0.726333333333333,-58.0131300465741,-52.6995530371265,-45.0032875882551,-15.5204161435498,-12.9652472187121,20.1858742924795,34.3817244275454,49.4209842941035
"GBBG",1978,1970,0.709666666666667,-61.6180097567092,-55.4112183170297,-47.6563648995714,-15.8059118779959,-12.4551139290701,25.1747708036126,42.3305673372784,59.6583383287382
"GBBG",1979,1970,0.692666666666667,-63.8378639514133,-57.2640956374306,-49.6164215630948,-15.9117856547797,-11.5272051148625,31.0341795441692,51.7489147882294,70.1725409246634
"GBBG",1980,1970,0.678666666666667,-66.3322128461064,-59.7804979305131,-51.2008935016147,-16.0795740236378,-10.236580145346,36.7683151114296,58.61769091473,81.6137887906223
"GBBG",1981,1970,0.659666666666667,-68.722833267911,-61.6461166246794,-52.6981744585661,-15.3203333798577,-8.64359694411673,42.7429054177516,67.580902883168,94.460115340727
"GBBG",1982,1970,0.645,-70.2552313980971,-62.7412865311731,-53.815736725634,-14.4965440469075,-6.81767751133566,48.9098989673645,77.1240180757577,107.629961842156
"GBBG",1983,1970,0.632333333333333,-71.6820011210197,-64.3298255429698,-55.3757015694848,-14.0622922399632,-4.84101826377639,57.1483265763982,86.9175150088848,118.747721504925
"GBBG",1984,1970,0.618333333333333,-72.8868706633221,-65.669501691477,-56.7081304726048,-13.3212136630366,-2.81163051592815,64.1811070407102,94.7453317873896,131.799795352016
"GBBG",1985,1970,0.611,-74.2834240693376,-66.994097187402,-57.680671297584,-13.0172780225451,-0.844885617652126,70.1535109435958,105.296179493273,146.514704142944
"GBBG",1986,1970,0.603,-75.235965248255,-68.3416887298714,-58.5550431671754,-12.2921249388184,0.927387032606799,77.6488937049046,116.101946182009,159.486840995132
