"Species","Year","q05","q50","mean","q95"
"BLGU",1974,6368.44388079591,10942.3377183517,13905.2056111999,27916.3198839095
"BLGU",1975,6684.72148642514,10818.4504987253,13278.8339509149,25156.7057804466
"BLGU",1976,6969.39468449566,10766.1449000689,12851.0977413245,23467.8081152157
"BLGU",1977,7238.67332727733,10731.9577105833,12560.9289468463,22456.3337913459
"BLGU",1978,7451.4237964242,10810.585719331,12366.0935464432,21265.3215665248
"BLGU",1979,7600.79326161734,10816.1846888116,12238.006656065,20683.630978201
"BLGU",1980,7655.82377006694,10837.9649739435,12158.9626128268,20267.2440796102
"BLGU",1981,7697.25341890272,10882.9924133777,12120.2779834687,20039.7256200237
"BLGU",1982,7757.81888869285,10908.4185034784,12120.5758029715,19674.8345605782
"BLGU",1983,7818.65067437557,10959.3214600965,12163.9231662027,19832.682161634
"BLGU",1984,7943.48641186379,11096.1740211101,12257.841297005,19750.3290051479
"BLGU",1985,8101.46684897296,11244.7801559277,12411.3442075746,19980.546632956
"BLGU",1986,8281.61455337918,11389.4539093258,12633.1566424087,20500.7942201815
"BLGU",1987,8452.23011389402,11617.3394732459,12930.1835851764,21074.5898836607
"BLGU",1988,8690.38084392915,11869.5069578233,13306.2371227976,21799.7817077475
"BLGU",1989,8959.55139270425,12206.1102124532,13761.0316836724,22401.8061287857
"BLGU",1990,9259.4622330163,12598.2009233053,14289.5409797945,23348.6321844961
"BLGU",1991,9638.53126516633,13044.9313027507,14881.9126574277,24504.9042847497
"BLGU",1992,10032.9842155688,13581.364716271,15524.1611143538,25460.5131830985
"BLGU",1993,10467.8758510453,14160.3789342832,16199.7202075788,26392.9378329982
"BLGU",1994,10923.2721795937,14786.5594636904,16891.6405063259,27418.1616814343
"BLGU",1995,11470.4030596648,15480.6201275886,17584.895091701,28347.382658936
"BLGU",1996,12067.3478972817,16148.6177933865,18268.1180686423,29307.6874999723
"BLGU",1997,12590.4135341745,16868.7371881798,18934.2669688401,30397.747216392
"BLGU",1998,13192.0837240661,17570.8948940932,19580.1050333198,30873.0473341418
"BLGU",1999,13920.9057673838,18292.8169923343,20204.8139875587,31508.4243788864
"BLGU",2000,14589.3856720605,19008.5516635046,20808.2560018209,32098.6102845884
"BLGU",2001,15278.3489749489,19649.5537672393,21389.3509479253,32744.2885479196
"BLGU",2002,15892.3430915886,20230.0812071533,21944.8339275559,33402.1357804914
"BLGU",2003,16460.6534053544,20739.0972433169,22468.4690772017,33868.0094059597
"BLGU",2004,16914.491910345,21225.6547812949,22950.7119838695,34630.9774061009
"BLGU",2005,17225.7547007728,21643.6400056894,23378.8287082255,34900.0287893579
"BLGU",2006,17464.2368136721,21968.7819114597,23737.5296564967,35233.3328262917
"BLGU",2007,17480.7427517358,22207.6107928516,24010.1919982857,35617.1437743822
"BLGU",2008,17389.3117980041,22381.3300652511,24180.6827176533,35675.8922550909
"BLGU",2009,17316.6541538623,22438.6407179872,24235.6509536936,36242.4394838957
"BLGU",2010,16918.7881905439,22280.2516985203,24166.9689559033,36521.8418994411
"BLGU",2011,16470.4143229485,21941.4370183277,23973.8398610281,36630.6406496572
"BLGU",2012,15869.2628800766,21567.0946104065,23664.0487949224,37048.0458160888
"BLGU",2013,15220.0116152106,21129.1086702651,23253.9732106772,37353.6919991791
"BLGU",2014,14555.5706414117,20527.6207058668,22767.2706152242,36767.8919354165
"BLGU",2015,13872.6539226016,19854.1557118972,22232.5177468796,36591.4755655132
"BLGU",2016,13049.7675289951,19166.0149579155,21680.3369849535,36438.2818395068
"BLGU",2017,12175.3454836664,18382.3445315835,21140.6115990935,36906.7897137949
"BLGU",2018,11341.5011790117,17628.0725608083,20640.2597384806,36548.9296782577
"BLGU",2019,10530.2172257257,16901.9101494374,20201.7919817167,37093.4422367447
"BLGU",2020,9735.54611934847,16225.5095820724,19842.6272880806,37752.5110025503
"BLGU",2021,8933.0813371898,15572.3217374409,19574.9629214293,38594.2888658546
"BLKI",1950,16343.0945648241,118482.793293752,484471.715456876,946374.075102082
"BLKI",1951,17752.8100675244,118047.190318478,456936.576044576,894775.040450301
"BLKI",1952,19296.9291213755,118096.716676524,431944.239356877,858272.087773448
"BLKI",1953,20773.583294866,118499.801157672,408916.635122129,826406.43764299
"BLKI",1954,22259.1147930362,118639.030970254,387288.263453281,776533.051223099
"BLKI",1955,24026.9753816002,117705.384227092,366564.370708602,723139.048594622
"BLKI",1956,25677.6261386884,117637.858525988,346368.941540393,680799.830378705
"BLKI",1957,28060.9843557409,117897.488295495,326480.191538213,649855.40962629
"BLKI",1958,30495.9138178089,118561.708696113,306847.824229145,628021.148411812
"BLKI",1959,33264.7456388103,118921.320605837,287586.442160434,572551.143974929
"BLKI",1960,35642.1442971527,118542.921787449,268943.554672008,544019.194962062
"BLKI",1961,39075.602190133,119503.250287285,251247.218117656,515212.547647995
"BLKI",1962,42605.8764591866,120612.534066868,234844.552556788,485834.735345212
"BLKI",1963,45517.6652465976,121349.141355645,220045.10148248,452032.657655548
"BLKI",1964,49353.0244937991,122685.259679599,207080.755861624,421709.462055534
"BLKI",1965,53635.5876941041,124352.506123151,196087.820903849,398101.434788265
"BLKI",1966,58817.6014108902,125768.98129669,187109.691728076,369276.635620068
"BLKI",1967,64508.4027851889,127637.066289433,180113.498948668,348596.01516176
