"Species","Year","q05","q50","mean","q95"
"LESP",2013,3218987.13372913,6037865.93427515,6475247.1352592,11177005.9773364
"LESP",2014,3173481.6817681,5927828.88499234,6400772.11836087,11156354.6410492
"LESP",2015,3094256.49635147,5843437.55504375,6338015.08730565,11161208.6094737
"LESP",2016,3046269.68691514,5772717.8249992,6287078.64491079,11250390.8678266
"LESP",2017,2934206.33061749,5691864.13979651,6248105.16911723,11307745.375654
"LESP",2018,2849392.65974334,5614203.90326656,6221283.83740782,11362773.5472303
"LESP",2019,2749567.93389604,5542979.56276503,6206883.19819067,11457471.0414352
"LESP",2020,2645522.1648982,5472285.22581131,6205328.23169435,11705841.1969391
"LESP",2021,2542082.36129014,5425063.43177874,6217352.1675798,12075725.7031472
"NOFU",1950,2.09707723839294,55.6261522659232,933.404757070721,1881.88383146713
"NOFU",1951,2.49893957021567,59.79881328878,829.366717868121,1792.68415788632
"NOFU",1952,3.04135425328681,63.3413358001776,742.150558460965,1706.31151931181
"NOFU",1953,3.57603939303674,67.8227765417503,668.023732046013,1615.5186077579
"NOFU",1954,4.32523636098118,70.7491169462925,603.863895039007,1526.16038323593
"NOFU",1955,5.20084698415371,74.193186885272,547.187143376645,1475.84756661989
"NOFU",1956,6.05984870155189,78.5884770048758,496.124303304979,1373.41868182979
"NOFU",1957,7.18170673401518,82.4948112754207,449.369904551862,1304.4409970821
"NOFU",1958,8.22237224902684,86.7137725917723,406.110837936111,1194.24311528069
"NOFU",1959,9.45026016040987,91.1541152935293,365.936119073502,1089.65991186212
"NOFU",1960,10.7805951132346,94.5425819705801,328.73111461861,1000.14474085821
"NOFU",1961,12.354014364188,96.6561906657861,294.564694238352,898.5204958154
"NOFU",1962,14.3465745180956,99.1647118511498,263.582120656476,808.909629176952
"NOFU",1963,16.6020784756641,100.808251166318,235.917226348205,706.783631667101
"NOFU",1964,19.0581412543851,101.712656799119,211.633628780165,625.351705066674
"NOFU",1965,21.661238224775,101.75894973581,190.697797753193,547.124000879069
"NOFU",1966,25.0008574212855,101.637100576426,172.979628617739,487.871850731195
"NOFU",1967,28.2761351369361,101.31236940886,158.271520698809,428.045426725309
"NOFU",1968,32.0338457568129,101.349484727304,146.315894056784,382.856036742819
"NOFU",1969,36.0201605967675,101.922618403123,136.832882969804,339.009347949761
"NOFU",1970,39.9378007801433,102.127265159004,129.543049596387,302.499566396335
"NOFU",1971,44.8821874908946,102.634251871958,124.18298631874,267.661802646194
"NOFU",1972,49.5589831916704,103.423604109241,120.513895863918,242.746144821946
"NOFU",1973,54.6867244933155,104.29320887707,118.324505918519,221.639066670477
"NOFU",1974,60.2928323840545,105.911283561939,117.430151428601,206.454994510504
"NOFU",1975,66.3672828772923,108.408622226502,117.669799519976,198.855235338539
"NOFU",1976,71.7219549355674,111.27675101943,118.902431505553,190.647396651974
"NOFU",1977,76.9324381847144,114.773664728483,121.003698048464,185.723053533432
"NOFU",1978,80.6008688358274,118.633606309198,123.863229545941,185.051333812008
"NOFU",1979,85.2127888239875,123.08100809601,127.382487750537,184.874532416827
"NOFU",1980,89.872904250701,127.766357387149,131.472661121792,185.092587507696
"NOFU",1981,94.2115784997937,132.478281987817,136.051913679888,189.831311650887
"NOFU",1982,98.1944338593706,138.010176025218,141.041352674919,194.374447760341
"NOFU",1983,103.068764737358,143.298733840091,146.359391312928,200.755474610677
"NOFU",1984,107.535109549357,148.447979572821,151.91469580084,206.595078788885
"NOFU",1985,111.98671678062,153.567734748719,157.598522090857,214.400908096363
"NOFU",1986,116.414712445656,158.770043941124,163.277845017183,222.463167300765
"NOFU",1987,120.062728490701,164.473000302499,168.791125993842,230.058051194958
"NOFU",1988,123.960613689307,168.801361634491,173.948700855822,237.880650712991
"NOFU",1989,127.010545299082,173.403691667481,178.539425761057,246.136507115368
"NOFU",1990,129.572555798996,177.262715951185,182.34425711652,251.329009923999
"NOFU",1991,131.845562669627,180.024273232617,185.155866162465,255.427348949208
